Suitcase Name,Start Frame,End Frame,Duration
CurrentSuitcase_1_1.387,0,50,50
CurrentSuitcase_1_2.387,20,70,50
CurrentSuitcase_1_3.387,40,90,50
CurrentSuitcase_2_1.387,60,110,50
CurrentSuitcase_2_2.387,80,130,50
CurrentSuitcase_2_3.387,100,150,50
CurrentSuitcase_3_1.387,120,170,50
CurrentSuitcase_3_2.387,140,190,50
CurrentSuitcase_3_3.387,160,210,50
